Linux 5.4.0-54-generic (cseensmsc16) 	25/10/23 	_x86_64_	(8 CPU)

02:49:53        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:49:58        all      2.34      0.00      0.60      0.78      0.00     96.28
02:50:03        all      2.13      0.00      1.05      0.05      0.00     96.77
02:50:08        all      1.86      0.00      0.70      0.08      0.00     97.37
02:50:13        all      2.21      0.00      0.85      0.05      0.00     96.89
02:50:18        all      8.52      0.00      4.70      0.03      0.00     86.76
02:50:23        all     10.35      0.00      6.02      0.10      0.00     83.53
02:50:28        all     10.02      0.00      6.05      0.05      0.00     83.88
02:50:33        all     10.65      0.00      6.18      0.40      0.00     82.77
02:50:38        all     10.65      0.00      6.07      0.02      0.00     83.25
02:50:43        all     10.40      0.00      6.22      0.07      0.00     83.30
02:50:48        all     10.29      0.00      5.91      0.05      0.00     83.75
02:50:53        all     10.25      0.00      5.74      0.03      0.00     83.98
02:50:58        all     10.06      0.00      5.78      0.33      0.00     83.83
02:51:03        all     10.06      0.00      5.89      0.03      0.00     84.03
02:51:08        all     11.41      0.00      6.07      0.07      0.00     82.44
02:51:13        all     10.52      0.00      5.75      0.02      0.00     83.71
02:51:18        all      3.87      0.00      1.96      0.00      0.00     94.17
02:51:23        all      2.24      0.00      0.78      0.05      0.00     96.93
02:51:28        all      1.68      0.00      0.63      0.08      0.00     97.61
02:51:33        all      2.08      0.00      0.68      0.03      0.00     97.22
02:51:38        all      1.63      0.00      0.65      0.05      0.00     97.66
02:51:43        all      2.23      0.00      0.85      0.00      0.00     96.91
02:51:48        all      1.71      0.00      0.63      0.05      0.00     97.61
02:51:53        all      2.49      0.00      0.60      0.10      0.00     96.81
Average:        all      6.24      0.00      3.35      0.10      0.00     90.30
