Linux 5.4.0-54-generic (cseensmsc16) 	25/10/23 	_x86_64_	(8 CPU)

02:39:19        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:39:24        all      2.48      0.00      0.68      0.05      0.00     96.79
02:39:29        all      2.26      0.00      0.80      0.05      0.00     96.89
02:39:34        all      1.88      0.00      0.65      0.08      0.00     97.39
02:39:39        all      2.05      0.00      0.73      0.05      0.00     97.17
02:39:44        all      8.02      0.00      4.84      0.03      0.00     87.11
02:39:49        all      9.08      0.00      5.66      0.05      0.00     85.20
02:39:54        all      8.39      0.00      5.32      0.36      0.00     85.92
02:39:59        all      9.05      0.00      5.31      0.64      0.00     84.99
02:40:04        all      8.67      0.00      5.36      0.05      0.00     85.91
02:40:09        all      8.59      0.00      5.88      0.05      0.00     85.47
02:42:19        all      3.13      0.00      1.42      0.10      0.00     95.35
02:42:24        all      1.81      0.00      0.55      0.08      0.00     97.57
02:42:29        all      2.01      0.00      0.63      0.05      0.00     97.32
02:42:34        all      2.46      0.00      0.55      0.05      0.00     96.94
02:42:39        all      1.93      0.00      0.70      0.15      0.00     97.22
02:42:44        all      8.65      0.00      4.67      0.05      0.00     86.63
02:42:49        all     10.25      0.00      6.38      0.05      0.00     83.32
02:42:54        all     10.41      0.00      5.87      0.40      0.00     83.32
02:42:59        all     10.07      0.00      6.15      0.05      0.00     83.72
02:43:04        all     10.88      0.00      5.83      0.05      0.00     83.24
02:43:09        all     10.23      0.00      5.93      0.10      0.00     83.74
02:43:14        all     10.15      0.00      5.79      0.05      0.00     84.01
02:43:19        all     10.05      0.00      5.93      0.05      0.00     83.97
02:43:24        all      9.87      0.00      5.88      0.05      0.00     84.20
02:43:29        all     10.34      0.00      6.02      0.05      0.00     83.59
02:43:34        all      9.42      0.00      6.06      0.05      0.00     84.47
02:43:39        all      9.76      0.00      5.98      0.05      0.00     84.22
02:43:44        all      3.86      0.00      2.08      0.05      0.00     94.02
02:43:49        all      2.53      0.00      0.70      0.48      0.00     96.29
02:43:54        all      1.88      0.00      0.70      0.08      0.00     97.34
02:43:59        all      2.18      0.00      0.75      0.05      0.00     97.01
02:44:04        all      1.86      0.00      0.70      0.05      0.00     97.39
02:44:09        all      1.91      0.00      0.60      0.00      0.00     97.49
02:44:14        all      1.96      0.00      0.65      0.03      0.00     97.37
02:44:19        all      2.11      0.00      0.85      0.23      0.00     96.81
Average:        all      4.80      0.00      2.53      0.10      0.00     92.56
