Linux 5.4.0-54-generic (cseensmsc16) 	25/10/23 	_x86_64_	(8 CPU)

03:31:10        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:31:15        all      1.86      0.00      0.55      0.13      0.00     97.47
03:31:20        all      1.93      0.00      0.75      0.05      0.00     97.26
03:31:25        all      2.23      0.00      0.70      0.05      0.00     97.02
03:31:30        all      1.98      0.00      0.60      0.03      0.00     97.39
03:31:35        all     39.08      0.00      0.81      0.00      0.00     60.11
03:31:40        all     49.43      0.00      1.04      0.05      0.00     49.48
03:31:45        all     49.48      0.00      0.53      0.05      0.00     49.94
03:31:50        all     48.98      0.00      0.82      0.00      0.00     50.20
03:31:55        all     48.15      0.00      0.69      0.36      0.00     50.80
03:32:00        all     48.89      0.00      0.82      0.05      0.00     50.24
03:32:05        all     48.22      0.00      0.76      0.30      0.00     50.71
03:32:10        all     46.93      0.00      0.79      0.05      0.00     52.23
03:32:15        all     47.83      0.00      0.61      0.05      0.00     51.50
03:32:20        all     47.97      0.00      0.79      0.00      0.00     51.24
03:32:25        all     47.64      0.00      0.86      0.05      0.00     51.45
03:32:30        all     47.93      0.00      0.61      0.05      0.00     51.40
03:32:35        all     12.55      0.00      0.83      0.05      0.00     86.57
03:32:40        all      1.76      0.00      0.73      0.05      0.00     97.47
03:32:45        all      1.78      0.00      0.60      0.08      0.00     97.54
03:32:50        all      2.28      0.00      0.78      0.03      0.00     96.92
03:32:55        all      1.71      0.00      0.60      0.55      0.00     97.14
03:33:00        all      1.73      0.00      0.70      0.05      0.00     97.51
03:33:05        all      1.85      0.00      0.90      0.00      0.00     97.24
03:33:10        all      2.21      0.00      0.70      0.05      0.00     97.04
Average:        all     25.02      0.00      0.73      0.09      0.00     74.16
