Linux 5.4.0-54-generic (cseensmsc16) 	25/10/23 	_x86_64_	(8 CPU)

03:23:25        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:23:30        all      1.88      0.00      0.73      0.05      0.00     97.34
03:23:35        all      1.68      0.00      0.58      0.08      0.00     97.66
03:23:40        all      2.48      0.00      0.83      0.05      0.00     96.64
03:23:45        all      1.53      0.00      0.45      0.03      0.00     97.99
03:23:50        all      4.70      0.00      2.72      0.38      0.00     92.21
03:23:55        all      5.65      0.00      2.71      0.13      0.00     91.51
03:24:00        all      5.16      0.00      3.01      0.05      0.00     91.78
03:24:05        all      4.60      0.00      2.91      0.05      0.00     92.43
03:24:10        all      4.83      0.00      2.86      0.08      0.00     92.23
03:24:15        all      4.93      0.00      2.86      0.31      0.00     91.89
03:24:20        all      4.84      0.00      2.87      0.08      0.00     92.22
03:24:25        all      4.59      0.00      2.74      0.05      0.00     92.62
03:24:30        all      5.18      0.00      2.96      0.08      0.00     91.78
03:24:35        all      4.44      0.00      2.54      0.05      0.00     92.97
03:24:40        all      5.32      0.00      2.92      0.10      0.00     91.66
03:24:45        all      4.81      0.00      2.56      0.08      0.00     92.55
03:24:50        all      3.00      0.00      1.09      0.25      0.00     95.66
03:24:55        all      1.91      0.00      0.70      0.00      0.00     97.39
03:25:00        all      2.39      0.00      1.01      0.40      0.00     96.20
03:25:05        all      2.31      0.00      0.70      0.08      0.00     96.92
03:25:10        all      2.64      0.00      0.85      0.03      0.00     96.48
03:25:15        all      1.76      0.00      0.60      0.03      0.00     97.61
03:25:20        all      2.26      0.00      0.88      0.05      0.00     96.81
03:25:25        all      1.73      0.00      0.65      0.05      0.00     97.56
Average:        all      3.51      0.00      1.77      0.10      0.00     94.61
