Linux 5.4.0-54-generic (cseensmsc16) 	25/10/23 	_x86_64_	(8 CPU)

02:30:00        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:30:05        all      2.01      0.00      0.90      0.08      0.00     97.01
02:30:10        all      2.31      0.00      0.85      0.08      0.00     96.76
02:30:15        all      2.08      0.00      0.90      0.08      0.00     96.94
02:30:20        all      2.58      0.00      0.65      0.05      0.00     96.72
02:30:25        all      3.49      0.00      1.85      0.05      0.00     94.61
02:30:30        all      4.82      0.00      2.17      0.05      0.00     92.97
02:30:35        all      4.49      0.00      2.30      0.28      0.00     92.94
02:30:40        all      4.27      0.00      1.89      0.05      0.00     93.79
02:30:45        all      5.13      0.00      2.26      0.10      0.00     92.50
02:30:50        all      4.47      0.00      2.32      0.05      0.00     93.16
02:30:55        all      4.66      0.00      2.24      0.05      0.00     93.05
02:31:00        all      5.00      0.00      2.59      0.43      0.00     91.99
02:31:05        all      5.67      0.00      2.17      0.05      0.00     92.11
02:31:10        all      4.45      0.00      1.94      0.08      0.00     93.53
02:31:15        all      4.50      0.00      1.89      0.05      0.00     93.55
02:31:20        all      4.63      0.00      1.79      0.05      0.00     93.52
02:31:25        all      2.86      0.00      1.11      0.00      0.00     96.03
02:31:30        all      1.68      0.00      0.70      0.05      0.00     97.57
02:31:35        all      2.28      0.00      0.90      0.08      0.00     96.74
02:31:40        all      1.88      0.00      0.65      0.05      0.00     97.42
02:31:45        all      1.73      0.00      0.68      0.05      0.00     97.54
02:31:50        all      2.00      0.00      0.80      0.05      0.00     97.14
02:31:55        all      2.93      0.00      0.70      0.08      0.00     96.29
02:32:00        all      1.95      0.00      0.78      0.48      0.00     96.79
Average:        all      3.40      0.00      1.46      0.10      0.00     95.04
