Linux 5.4.0-54-generic (cseensmsc16) 	25/10/23 	_x86_64_	(8 CPU)

02:16:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
02:16:46        all      1.83      0.00      0.68      0.03      0.00     97.46
02:16:51        all      2.05      0.00      0.78      0.05      0.00     97.12
02:16:56        all      2.23      0.00      0.63      0.45      0.00     96.69
02:17:01        all      1.61      0.00      0.63      0.05      0.00     97.71
02:17:06        all      5.01      0.00      2.38      0.05      0.00     92.56
02:17:11        all      4.71      0.00      2.53      0.08      0.00     92.68
02:17:16        all      4.99      0.00      2.48      0.05      0.00     92.47
02:17:21        all      4.67      0.00      2.80      0.05      0.00     92.48
02:17:26        all      4.63      0.00      2.68      0.05      0.00     92.64
02:17:31        all      4.84      0.00      2.73      0.05      0.00     92.38
02:17:36        all      4.72      0.00      2.85      0.10      0.00     92.33
02:17:41        all      4.74      0.00      2.87      0.05      0.00     92.34
02:17:46        all      4.52      0.00      2.83      0.05      0.00     92.60
02:17:51        all      5.49      0.00      2.72      0.08      0.00     91.72
02:17:56        all      4.23      0.00      2.73      0.53      0.00     92.51
02:18:01        all      4.57      0.00      2.68      0.10      0.00     92.66
02:18:06        all      2.71      0.00      1.43      0.05      0.00     95.81
02:18:11        all      2.03      0.00      0.58      0.05      0.00     97.34
02:18:16        all      1.73      0.00      0.58      0.05      0.00     97.64
02:18:21        all      2.16      0.00      0.50      0.05      0.00     97.28
02:18:26        all      1.98      0.00      0.75      0.00      0.00     97.26
02:18:31        all      1.78      0.00      0.58      0.05      0.00     97.59
02:18:36        all      2.11      0.00      0.58      0.05      0.00     97.26
02:18:41        all      2.71      0.00      0.65      0.05      0.00     96.58
Average:        all      3.41      0.00      1.69      0.09      0.00     94.80
