Linux 5.4.0-54-generic (cseensmsc16) 	25/10/23 	_x86_64_	(8 CPU)

03:11:11        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:11:16        all      2.26      0.00      0.80      0.03      0.00     96.91
03:11:21        all      1.96      0.00      0.58      0.08      0.00     97.39
03:11:26        all      2.49      0.00      0.75      0.03      0.00     96.74
03:11:31        all      1.73      0.00      0.58      0.08      0.00     97.61
03:11:36        all     14.83      0.00      1.00      0.08      0.00     84.09
03:11:41        all     17.01      0.00      0.75      0.05      0.00     82.19
03:11:46        all     17.26      0.00      0.78      0.05      0.00     81.91
03:11:51        all     17.40      0.00      0.83      0.05      0.00     81.72
03:11:56        all     17.80      0.00      0.97      0.05      0.00     81.17
03:12:01        all     17.13      0.00      0.70      0.38      0.00     81.79
03:12:06        all     17.91      0.00      0.85      0.38      0.00     80.86
03:12:11        all     17.40      0.00      0.70      0.03      0.00     81.87
03:12:16        all     17.40      0.00      0.63      0.05      0.00     81.92
03:12:21        all     17.15      0.00      0.60      0.05      0.00     82.20
03:12:26        all     17.29      0.00      0.75      0.08      0.00     81.88
03:12:31        all     17.40      0.00      0.98      0.05      0.00     81.57
03:12:36        all      4.42      0.00      0.75      0.05      0.00     94.78
03:12:41        all      2.06      0.00      0.80      0.05      0.00     97.09
03:12:46        all      2.08      0.00      0.73      0.10      0.00     97.09
03:12:51        all      1.79      0.00      0.48      0.05      0.00     97.69
03:12:56        all      2.73      0.00      0.83      0.58      0.00     95.86
03:13:01        all      1.78      0.00      0.53      0.03      0.00     97.66
03:13:06        all      2.11      0.00      0.68      0.08      0.00     97.14
03:13:11        all      2.03      0.00      0.53      0.05      0.00     97.39
Average:        all      9.73      0.00      0.73      0.10      0.00     89.44
