Linux 5.4.0-54-generic (cseensmsc16) 	25/10/23 	_x86_64_	(8 CPU)

03:04:10        CPU     %user     %nice   %system   %iowait    %steal     %idle
03:04:15        all      2.54      0.00      0.65      0.23      0.00     96.58
03:04:20        all      1.90      0.00      0.70      0.05      0.00     97.34
03:04:25        all      1.91      0.00      0.60      0.00      0.00     97.49
03:04:30        all      1.93      0.00      0.83      0.05      0.00     97.19
03:04:35        all      3.10      0.00      1.07      0.05      0.00     95.78
03:04:40        all      3.01      0.00      0.97      0.05      0.00     95.96
03:04:45        all      3.37      0.00      1.25      0.56      0.00     94.82
03:04:50        all      2.99      0.00      1.00      0.05      0.00     95.97
03:04:55        all      3.04      0.00      1.10      0.08      0.00     95.79
03:05:00        all      4.22      0.00      1.68      0.81      0.00     93.28
03:05:05        all      3.24      0.00      1.15      0.05      0.00     95.56
03:05:10        all      3.71      0.00      1.20      0.05      0.00     95.04
03:05:15        all      3.18      0.00      1.09      0.10      0.00     95.63
03:05:20        all      3.61      0.00      1.14      0.48      0.00     94.76
03:05:25        all      3.26      0.00      1.04      0.08      0.00     95.62
03:05:30        all      3.53      0.00      1.34      0.05      0.00     95.08
03:05:35        all      2.68      0.00      1.08      0.05      0.00     96.19
03:05:40        all      1.76      0.00      0.65      0.08      0.00     97.52
03:05:45        all      1.96      0.00      0.65      0.05      0.00     97.34
03:05:50        all      2.01      0.00      0.63      0.03      0.00     97.34
03:05:55        all      1.94      0.00      0.65      0.03      0.00     97.38
03:06:00        all      1.93      0.00      0.68      0.53      0.00     96.86
03:06:05        all      2.13      0.00      0.65      0.05      0.00     97.17
03:06:10        all      2.26      0.00      0.63      0.05      0.00     97.06
Average:        all      2.71      0.00      0.93      0.15      0.00     96.20
